,B1_FULL_ADDRESS,Lat,Lon,DBA
10162,1615 SOLANO AVE B,37.891105,-122.284087,SUBWAY # 34501
10340,3222 ADELINE ST,37.849952,-122.271048,THE REC ROOM
10453,2380 TELEGRAPH AVE,37.867349,-122.258899,QI FENG LEI
10525,2107 ADDISON ST,37.871293,-122.267392,MOMO ISLAND
10545,1814 EUCLID AVE,37.875905,-122.260307,THE HUMMINGBIRD CAFE
10561,2041 UNIVERSITY AVE,37.872041,-122.269527,THE A & J LLC
10628,2434 SAN PABLO AVE,37.862197,-122.289992,SMOKE BERKELEY
10912,875 POTTER ST,37.851416,-122.291759,AUGIES MONTREAL SMOKE MEAT
11118,1820 SOLANO AVE D,37.891349,-122.279597,THE BUTCHER'S SON
11135,2575 TELEGRAPH AVE,37.863866,-122.258572,VSK2G INC
11190,2924 DOMINGO AVE,37.858657,-122.243934,FRESH AND BEST
11276,3075 ADELINE ST,37.853264,-122.269525,ADA CAFE
11611,2575 TELEGRAPH AVE,37.863866,-122.258572,UJI TIME CAFE GROUP LLC
11657,2136 CENTER ST,37.870434,-122.267145,CHICK'N RICE LLC
11800,2485 TELEGRAPH AVE,37.86538,-122.258493,POKE PARLOR LLC
11912,1998 SHATTUCK AVE,37.872408,-122.26843,MCDONALD'S
11974,3075 TELEGRAPH AVE,37.854242,-122.259905,HASHTAG POKI LLC
12159,2047 UNIVERSITY AVE,37.872035,-122.269576,NASH CAFE
12162,2109 MILVIA ST,37.870688,-122.270619,FACE TO FACE
12359,2328 BOWDITCH ST,37.867974,-122.256696,DUMPLING EXPRESS LLC
12474,2199 BANCROFT WAY,37.867822,-122.266003,U CHA
12485,1964 UNIVERSITY AVE,37.871701,-122.271521,BLUE'S CHOCOLATES
12795,2177 KITTREDGE ST,37.868675,-122.266525,ORGANIC GREENS
12817,1350 FIFTH ST,37.878618,-122.302313,A DORA PIE INC
12996,2433 DURANT AVE,37.867712,-122.259777,POKE BAR
13034,2570 NINTH ST,37.859242,-122.291382,99RAD LLC
