,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
2190,THEFT MISD. (UNDER $950),LARCENY,1800 FOURTH ST,37.869944,-122.300636
2199,THEFT MISD. (UNDER $950),LARCENY,1000 GILMAN ST,37.88015,-122.297446
1012,2ND RESPONSE,NOISE VIOLATION,2300 DWIGHT WAY,37.864535,-122.262993
1679,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 COLLEGE AVE,37.859988,-122.253339
3363,VANDALISM,VANDALISM,TELEGRAPH AVENUE & DERBY ST,37.861387,-122.259001
2371,NARCOTICS,DRUG VIOLATION,CHANNING WAY & COLLEGE AVE,37.867482,-122.254253
3210,THEFT MISD. (UNDER $950),LARCENY,1000 SPRUCE ST,37.890734,-122.267192
4419,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1400 FAIRVIEW ST,37.849321,-122.27977
933,BURGLARY AUTO,BURGLARY - VEHICLE,1200 MONTEREY AVE,37.882526,-122.282131
2799,ASSAULT/BATTERY FEL.,ASSAULT,800 SAN DIEGO RD,37.894536,-122.272056
1034,THEFT MISD. (UNDER $950),LARCENY,1800 CATALINA AVE,37.892108,-122.279995
4470,GUN/WEAPON,WEAPONS OFFENSE,SAN PABLO AVENUE & CARLETON ST,37.858043,-122.288642
3298,2ND RESPONSE,NOISE VIOLATION,2700 HILGARD AVE,37.878941,-122.257277
475,THEFT MISD. (UNDER $950),LARCENY,2600 SAN PABLO AVE,37.85922,-122.289035
672,NARCOTICS,DRUG VIOLATION,1900 SACRAMENTO ST,37.871713,-122.282185
3787,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
1155,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1000 UNIVERSITY AVE,37.868641,-122.29415
1574,MISSING ADULT,MISSING PERSON,2400 FIFTH ST,37.861511,-122.29681
4224,THEFT MISD. (UNDER $950),LARCENY,2000 UNIVERSITY AVE,37.871828,-122.270516
3997,DISTURBANCE,DISORDERLY CONDUCT,200 UNIVERSITY AVE,37.865491,-122.310065
2205,NARCOTICS,DRUG VIOLATION,SAN PABLO AVENUE & PARDEE ST,37.857186,-122.28836
5120,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2400 DURANT AVE,37.867513,-122.26127
3530,NARCOTICS,DRUG VIOLATION,BANCROFT WAY & SIXTH ST,37.863501,-122.296225
2962,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2000 PRINCE ST,37.852871,-122.26799
4149,VANDALISM,VANDALISM,1200 TENTH ST,37.882024,-122.29756
3638,BURGLARY AUTO,BURGLARY - VEHICLE,99 STONEWALL RD,37.862649,-122.243996
1998,MISSING ADULT,MISSING PERSON,1400 BONITA AVE,37.881433,-122.272921
3622,NARCOTICS,DRUG VIOLATION,1300 SHATTUCK AVE,37.88362,-122.269734
3137,VANDALISM,VANDALISM,ADELINE STREET & ASHBY AVE,37.854629,-122.26916
2840,2ND RESPONSE,NOISE VIOLATION,2400 CARLETON ST,37.862189,-122.25991
5007,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2300 FULTON ST,37.867566,-122.265948
5472,VANDALISM,VANDALISM,900 UNIVERSITY AVE,37.868273,-122.295963
428,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2400 OREGON ST,37.858608,-122.259302
2117,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2000 PRINCE ST,37.852871,-122.26799
170,2ND RESPONSE,NOISE VIOLATION,2500 FULTON ST,37.864238,-122.265263
45,NARCOTICS,DRUG VIOLATION,GILMAN STREET & NINTH ST,37.880021,-122.298091
1732,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1900 SHATTUCK AVE,37.873687,-122.268616
4250,VANDALISM,VANDALISM,2500 COLLEGE AVE,37.865711,-122.25389
296,THEFT FELONY (OVER $950),LARCENY,2344 FULTON ST,37.866209,-122.265653
5220,THEFT FELONY (OVER $950),LARCENY,2400 SHATTUCK AVE,37.865772,-122.267643
463,THEFT MISD. (UNDER $950),LARCENY,2600 SAN PABLO AVE,37.85922,-122.289035
1013,BURGLARY AUTO,BURGLARY - VEHICLE,2700 BELROSE AVE,37.862316,-122.245948
4243,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2400 WEBSTER ST,37.855199,-122.259768
